06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:14.501 - oc_logger - INFO - Function evaluation number: 113, SI: 3, Sub-iteration number: 12, FoM: 0.29711479981503097
06/04/2022 11:54:14.625 - oc_logger - INFO - Function evaluation number: 114, SI: 3, Sub-iteration number: 12, FoM: 0.2971147758909215
06/04/2022 11:54:14.754 - oc_logger - INFO - Function evaluation number: 115, SI: 3, Sub-iteration number: 13, FoM: 0.29711481406143536
06/04/2022 11:54:14.877 - oc_logger - INFO - Function evaluation number: 116, SI: 3, Sub-iteration number: 13, FoM: 0.29711477408322606
06/04/2022 11:54:14.997 - oc_logger - INFO - Function evaluation number: 117, SI: 3, Sub-iteration number: 14, FoM: 0.2971147933046636
06/04/2022 11:54:15.125 - oc_logger - INFO - Function evaluation number: 118, SI: 3, Sub-iteration number: 14, FoM: 0.29711477226616545
06/04/2022 11:54:15.248 - oc_logger - INFO - Function evaluation number: 119, SI: 3, Sub-iteration number: 15, FoM: 0.29711479167029764
06/04/2022 11:54:15.371 - oc_logger - INFO - Function evaluation number: 120, SI: 3, Sub-iteration number: 15, FoM: 0.29711477023405664
06/04/2022 11:54:15.495 - oc_logger - INFO - Function evaluation number: 121, SI: 3, Sub-iteration number: 16, FoM: 0.2971148305590514
06/04/2022 11:54:15.618 - oc_logger - INFO - Function evaluation number: 122, SI: 3, Sub-iteration number: 16, FoM: 0.2971147652711119
06/04/2022 11:54:15.749 - oc_logger - INFO - Function evaluation number: 123, SI: 3, Sub-iteration number: 17, FoM: 0.2971147850980378
06/04/2022 11:54:15.873 - oc_logger - INFO - Function evaluation number: 124, SI: 3, Sub-iteration number: 17, FoM: 0.29711476878697496
06/04/2022 11:54:15.873 - oc_logger - INFO - SI 3 finished - Number of evaluations: 42, Best FoM: 0.29711475206408955, Terminate reason: Convergence of the FoM.

06/04/2022 11:54:15.873 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:16.002 - oc_logger - INFO - Function evaluation number: 125, SI: 4, Sub-iteration number: 0, FoM: 0.29711475206408955
06/04/2022 11:54:16.131 - oc_logger - INFO - Function evaluation number: 126, SI: 4, Sub-iteration number: 0, FoM: 0.29711486306148305
06/04/2022 11:54:16.256 - oc_logger - INFO - Function evaluation number: 127, SI: 4, Sub-iteration number: 0, FoM: 0.29711521298988286
06/04/2022 11:54:16.386 - oc_logger - INFO - Function evaluation number: 128, SI: 4, Sub-iteration number: 0, FoM: 0.2971150724421501
06/04/2022 11:54:16.514 - oc_logger - INFO - Function evaluation number: 129, SI: 4, Sub-iteration number: 0, FoM: 0.29711478645784095
06/04/2022 11:54:16.637 - oc_logger - INFO - Function evaluation number: 130, SI: 4, Sub-iteration number: 0, FoM: 0.2971148676948927
06/04/2022 11:54:16.757 - oc_logger - INFO - Function evaluation number: 131, SI: 4, Sub-iteration number: 0, FoM: 0.29711481639353354
06/04/2022 11:54:16.880 - oc_logger - INFO - Function evaluation number: 132, SI: 4, Sub-iteration number: 0, FoM: 0.29711477585604873
06/04/2022 11:54:17.011 - oc_logger - INFO - Function evaluation number: 133, SI: 4, Sub-iteration number: 0, FoM: 0.2971148037943385
06/04/2022 11:54:17.145 - oc_logger - INFO - Function evaluation number: 134, SI: 4, Sub-iteration number: 1, FoM: 0.2971150052181537
06/04/2022 11:54:17.273 - oc_logger - INFO - Function evaluation number: 135, SI: 4, Sub-iteration number: 2, FoM: 0.2971151903912308
06/04/2022 11:54:17.394 - oc_logger - INFO - Function evaluation number: 136, SI: 4, Sub-iteration number: 2, FoM: 0.2971148922320803
06/04/2022 11:54:17.515 - oc_logger - INFO - Function evaluation number: 137, SI: 4, Sub-iteration number: 3, FoM: 0.29711515092619045
06/04/2022 11:54:17.639 - oc_logger - INFO - Function evaluation number: 138, SI: 4, Sub-iteration number: 3, FoM: 0.2971148584352683
06/04/2022 11:54:17.770 - oc_logger - INFO - Function evaluation number: 139, SI: 4, Sub-iteration number: 4, FoM: 0.29711493422957513
06/04/2022 11:54:17.901 - oc_logger - INFO - Function evaluation number: 140, SI: 4, Sub-iteration number: 4, FoM: 0.29711481441569676
06/04/2022 11:54:18.031 - oc_logger - INFO - Function evaluation number: 141, SI: 4, Sub-iteration number: 5, FoM: 0.29711492239709436
06/04/2022 11:54:18.159 - oc_logger - INFO - Function evaluation number: 142, SI: 4, Sub-iteration number: 5, FoM: 0.2971148017830998
06/04/2022 11:54:18.283 - oc_logger - INFO - Function evaluation number: 143, SI: 4, Sub-iteration number: 6, FoM: 0.297114940988789
06/04/2022 11:54:18.406 - oc_logger - INFO - Function evaluation number: 144, SI: 4, Sub-iteration number: 6, FoM: 0.2971147977573778
06/04/2022 11:54:18.527 - oc_logger - INFO - Function evaluation number: 145, SI: 4, Sub-iteration number: 7, FoM: 0.2971149034678848
06/04/2022 11:54:18.648 - oc_logger - INFO - Function evaluation number: 146, SI: 4, Sub-iteration number: 7, FoM: 0.297114798479165
06/04/2022 11:54:18.779 - oc_logger - INFO - Function evaluation number: 147, SI: 4, Sub-iteration number: 8, FoM: 0.29711484473620753
06/04/2022 11:54:18.908 - oc_logger - INFO - Function evaluation number: 148, SI: 4, Sub-iteration number: 8, FoM: 0.29711478021363513
06/04/2022 11:54:19.034 - oc_logger - INFO - Function evaluation number: 149, SI: 4, Sub-iteration number: 9, FoM: 0.29711483815190576
06/04/2022 11:54:19.154 - oc_logger - INFO - Function evaluation number: 150, SI: 4, Sub-iteration number: 9, FoM: 0.29711477966025956
06/04/2022 11:54:19.279 - oc_logger - INFO - Function evaluation number: 151, SI: 4, Sub-iteration number: 10, FoM: 0.29711482963043123
06/04/2022 11:54:19.403 - oc_logger - INFO - Function evaluation number: 152, SI: 4, Sub-iteration number: 10, FoM: 0.29711477450629187
06/04/2022 11:54:19.531 - oc_logger - INFO - Function evaluation number: 153, SI: 4, Sub-iteration number: 11, FoM: 0.2971148224708393
06/04/2022 11:54:19.653 - oc_logger - INFO - Function evaluation number: 154, SI: 4, Sub-iteration number: 11, FoM: 0.2971147740060456
06/04/2022 11:54:19.771 - oc_logger - INFO - Function evaluation number: 155, SI: 4, Sub-iteration number: 12, FoM: 0.2971148228690229
